,idx,answer,predict,acc,dataset
55,55-mmlu,C,D,0,mmlu
56,56-mmlu,B,D,0,mmlu
57,57-mmlu,D,C,0,mmlu
58,58-mmlu,B,C,0,mmlu
59,59-mmlu,D,D,1,mmlu
60,60-mmlu,B,D,0,mmlu
61,61-mmlu,D,C,0,mmlu
62,62-mmlu,B,D,0,mmlu
63,63-mmlu,D,D,1,mmlu
64,64-mmlu,D,D,1,mmlu
65,65-mmlu,A,A,1,mmlu
66,66-mmlu,C,D,0,mmlu
67,67-mmlu,D,C,0,mmlu
68,68-mmlu,C,A,0,mmlu
69,69-mmlu,C,D,0,mmlu
70,70-mmlu,C,D,0,mmlu
71,71-mmlu,D,D,1,mmlu
72,72-mmlu,A,D,0,mmlu
73,73-mmlu,B,D,0,mmlu
74,74-mmlu,C,C,1,mmlu
75,75-mmlu,B,D,0,mmlu
76,76-mmlu,C,D,0,mmlu
77,77-mmlu,D,A,0,mmlu
78,78-mmlu,B,D,0,mmlu
79,79-mmlu,B,D,0,mmlu
80,80-mmlu,D,D,1,mmlu
81,81-mmlu,C,D,0,mmlu
82,82-mmlu,D,D,1,mmlu
83,83-mmlu,B,C,0,mmlu
84,84-mmlu,D,A,0,mmlu
85,85-mmlu,B,D,0,mmlu
86,86-mmlu,C,D,0,mmlu
87,87-mmlu,C,C,1,mmlu
88,88-mmlu,C,D,0,mmlu
89,89-mmlu,D,A,0,mmlu
90,90-mmlu,D,D,1,mmlu
91,91-mmlu,D,A,0,mmlu
92,92-mmlu,A,D,0,mmlu
93,93-mmlu,D,A,0,mmlu
94,94-mmlu,A,D,0,mmlu
95,95-mmlu,C,D,0,mmlu
96,96-mmlu,B,A,0,mmlu
97,97-mmlu,B,D,0,mmlu
98,98-mmlu,A,D,0,mmlu
99,99-mmlu,A,D,0,mmlu
100,100-mmlu,D,D,1,mmlu
101,101-mmlu,D,D,1,mmlu
102,102-mmlu,D,B,0,mmlu
103,103-mmlu,C,C,1,mmlu
104,104-mmlu,D,C,0,mmlu
105,105-mmlu,A,D,0,mmlu
106,106-mmlu,A,D,0,mmlu
107,107-mmlu,A,D,0,mmlu
108,108-mmlu,D,D,1,mmlu
109,109-mmlu,C,D,0,mmlu
110,110-mmlu,A,D,0,mmlu
111,111-mmlu,D,D,1,mmlu
112,112-mmlu,B,D,0,mmlu
113,113-mmlu,D,D,1,mmlu
114,114-mmlu,D,D,1,mmlu
115,115-mmlu,D,D,1,mmlu
116,116-mmlu,B,D,0,mmlu
117,117-mmlu,C,D,0,mmlu
118,118-mmlu,B,D,0,mmlu
119,119-mmlu,A,D,0,mmlu
120,120-mmlu,A,D,0,mmlu
121,121-mmlu,D,D,1,mmlu
122,122-mmlu,A,D,0,mmlu
123,123-mmlu,C,D,0,mmlu
124,124-mmlu,A,C,0,mmlu
125,125-mmlu,D,D,1,mmlu
126,126-mmlu,B,D,0,mmlu
127,127-mmlu,D,D,1,mmlu
128,128-mmlu,A,D,0,mmlu
129,129-mmlu,D,D,1,mmlu
130,130-mmlu,D,D,1,mmlu
131,131-mmlu,B,D,0,mmlu
132,132-mmlu,A,A,1,mmlu
133,133-mmlu,D,D,1,mmlu
134,134-mmlu,D,D,1,mmlu
135,135-mmlu,C,D,0,mmlu
136,136-mmlu,A,D,0,mmlu
137,137-mmlu,B,D,0,mmlu
138,138-mmlu,C,C,1,mmlu
139,139-mmlu,C,C,1,mmlu
140,140-mmlu,D,D,1,mmlu
141,141-mmlu,D,D,1,mmlu
142,142-mmlu,D,D,1,mmlu
143,143-mmlu,D,D,1,mmlu
144,144-mmlu,C,C,1,mmlu
145,145-mmlu,A,D,0,mmlu
146,146-mmlu,B,C,0,mmlu
147,147-mmlu,D,A,0,mmlu
148,148-mmlu,C,D,0,mmlu
149,149-mmlu,C,D,0,mmlu
150,150-mmlu,D,D,1,mmlu
151,151-mmlu,D,D,1,mmlu
152,152-mmlu,B,D,0,mmlu
153,153-mmlu,A,A,1,mmlu
154,154-mmlu,B,D,0,mmlu
155,155-mmlu,D,D,1,mmlu
156,156-mmlu,C,D,0,mmlu
157,157-mmlu,D,D,1,mmlu
158,158-mmlu,C,D,0,mmlu
159,159-mmlu,D,D,1,mmlu
160,160-mmlu,B,C,0,mmlu
161,161-mmlu,D,D,1,mmlu
162,162-mmlu,D,C,0,mmlu
163,163-mmlu,A,D,0,mmlu
164,164-mmlu,D,A,0,mmlu
165,165-mmlu,C,D,0,mmlu
166,166-mmlu,B,D,0,mmlu
167,167-mmlu,C,D,0,mmlu
168,168-mmlu,C,D,0,mmlu
169,169-mmlu,C,D,0,mmlu
170,170-mmlu,A,C,0,mmlu
171,171-mmlu,A,A,1,mmlu
172,172-mmlu,D,D,1,mmlu
173,173-mmlu,C,A,0,mmlu
174,174-mmlu,C,D,0,mmlu
175,175-mmlu,A,D,0,mmlu
176,176-mmlu,A,D,0,mmlu
177,177-mmlu,D,B,0,mmlu
178,178-mmlu,C,D,0,mmlu
179,179-mmlu,C,A,0,mmlu
180,180-mmlu,A,C,0,mmlu
181,181-mmlu,B,D,0,mmlu
182,182-mmlu,B,D,0,mmlu
183,183-mmlu,B,C,0,mmlu
184,184-mmlu,D,C,0,mmlu
185,185-mmlu,C,C,1,mmlu
186,186-mmlu,C,C,1,mmlu
187,187-mmlu,B,A,0,mmlu
188,188-mmlu,A,A,1,mmlu
189,189-mmlu,C,D,0,mmlu
190,190-mmlu,A,D,0,mmlu
191,191-mmlu,A,C,0,mmlu
192,192-mmlu,D,D,1,mmlu
193,193-mmlu,C,C,1,mmlu
194,194-mmlu,D,D,1,mmlu
195,195-mmlu,B,D,0,mmlu
196,196-mmlu,B,D,0,mmlu
197,197-mmlu,B,D,0,mmlu
198,198-mmlu,B,D,0,mmlu
199,199-mmlu,C,D,0,mmlu
200,200-mmlu,C,D,0,mmlu
201,201-mmlu,D,D,1,mmlu
202,202-mmlu,A,D,0,mmlu
203,203-mmlu,B,D,0,mmlu
204,204-mmlu,D,D,1,mmlu
205,205-mmlu,A,D,0,mmlu
206,206-mmlu,A,D,0,mmlu
207,207-mmlu,D,D,1,mmlu
208,208-mmlu,C,D,0,mmlu
209,209-mmlu,D,D,1,mmlu
210,210-mmlu,A,D,0,mmlu
211,211-mmlu,D,D,1,mmlu
212,212-mmlu,D,D,1,mmlu
213,213-mmlu,D,D,1,mmlu
214,214-mmlu,B,D,0,mmlu
215,215-mmlu,A,D,0,mmlu
216,216-mmlu,A,D,0,mmlu
217,217-mmlu,A,D,0,mmlu
218,218-mmlu,A,D,0,mmlu
219,219-mmlu,C,D,0,mmlu
220,220-mmlu,A,D,0,mmlu
221,221-mmlu,C,D,0,mmlu
222,222-mmlu,B,C,0,mmlu
223,223-mmlu,C,A,0,mmlu
224,224-mmlu,D,D,1,mmlu
225,225-mmlu,C,D,0,mmlu
226,226-mmlu,B,A,0,mmlu
227,227-mmlu,B,D,0,mmlu
228,228-mmlu,A,B,0,mmlu
229,229-mmlu,B,D,0,mmlu
230,230-mmlu,B,D,0,mmlu
231,231-mmlu,C,D,0,mmlu
232,232-mmlu,D,D,1,mmlu
233,233-mmlu,D,D,1,mmlu
234,234-mmlu,A,D,0,mmlu
235,235-mmlu,B,D,0,mmlu
236,236-mmlu,B,D,0,mmlu
237,237-mmlu,C,D,0,mmlu
238,238-mmlu,A,D,0,mmlu
239,239-mmlu,B,D,0,mmlu
240,240-mmlu,A,D,0,mmlu
241,241-mmlu,C,D,0,mmlu
242,242-mmlu,A,D,0,mmlu
243,243-mmlu,A,D,0,mmlu
244,244-mmlu,D,A,0,mmlu
245,245-mmlu,A,B,0,mmlu
246,246-mmlu,A,D,0,mmlu
247,247-mmlu,A,D,0,mmlu
248,248-mmlu,A,D,0,mmlu
249,249-mmlu,C,D,0,mmlu
250,250-mmlu,A,D,0,mmlu
251,251-mmlu,B,D,0,mmlu
252,252-mmlu,C,D,0,mmlu
253,253-mmlu,D,D,1,mmlu
254,254-mmlu,C,D,0,mmlu
255,255-mmlu,C,D,0,mmlu
256,256-mmlu,D,D,1,mmlu
257,257-mmlu,B,D,0,mmlu
258,258-mmlu,A,D,0,mmlu
259,259-mmlu,D,D,1,mmlu
260,260-mmlu,B,D,0,mmlu
261,261-mmlu,C,D,0,mmlu
262,262-mmlu,C,D,0,mmlu
263,263-mmlu,D,D,1,mmlu
264,264-mmlu,C,D,0,mmlu
265,265-mmlu,D,D,1,mmlu
266,266-mmlu,B,D,0,mmlu
267,267-mmlu,A,A,1,mmlu
268,268-mmlu,B,C,0,mmlu
269,269-mmlu,D,A,0,mmlu
270,270-mmlu,D,D,1,mmlu
271,271-mmlu,A,D,0,mmlu
272,272-mmlu,D,D,1,mmlu
273,273-mmlu,B,D,0,mmlu
274,274-mmlu,D,D,1,mmlu
275,275-mmlu,D,D,1,mmlu
276,276-mmlu,A,D,0,mmlu
277,277-mmlu,A,D,0,mmlu
278,278-mmlu,C,D,0,mmlu
279,279-mmlu,D,D,1,mmlu
280,280-mmlu,B,D,0,mmlu
281,281-mmlu,C,D,0,mmlu
282,282-mmlu,A,D,0,mmlu
283,283-mmlu,C,D,0,mmlu
284,284-mmlu,D,D,1,mmlu
285,285-mmlu,B,C,0,mmlu
286,286-mmlu,D,A,0,mmlu
287,287-mmlu,C,D,0,mmlu
288,288-mmlu,D,D,1,mmlu
289,289-mmlu,D,D,1,mmlu
290,290-mmlu,A,D,0,mmlu
291,291-mmlu,C,D,0,mmlu
292,292-mmlu,D,C,0,mmlu
293,293-mmlu,C,D,0,mmlu
294,294-mmlu,B,D,0,mmlu
295,295-mmlu,C,D,0,mmlu
296,296-mmlu,D,D,1,mmlu
297,297-mmlu,B,D,0,mmlu
298,298-mmlu,D,D,1,mmlu
299,299-mmlu,D,D,1,mmlu
300,300-mmlu,C,C,1,mmlu
301,301-mmlu,B,A,0,mmlu
302,302-mmlu,D,D,1,mmlu
303,303-mmlu,D,D,1,mmlu
304,304-mmlu,A,D,0,mmlu
305,305-mmlu,C,D,0,mmlu
306,306-mmlu,C,D,0,mmlu
307,307-mmlu,A,A,1,mmlu
308,308-mmlu,A,C,0,mmlu
309,309-mmlu,C,A,0,mmlu
310,310-mmlu,C,D,0,mmlu
311,311-mmlu,A,D,0,mmlu
312,312-mmlu,B,C,0,mmlu
313,313-mmlu,B,C,0,mmlu
314,314-mmlu,D,D,1,mmlu
315,315-mmlu,C,D,0,mmlu
316,316-mmlu,C,D,0,mmlu
317,317-mmlu,C,D,0,mmlu
318,318-mmlu,C,A,0,mmlu
319,319-mmlu,D,A,0,mmlu
320,320-mmlu,C,D,0,mmlu
321,321-mmlu,C,D,0,mmlu
322,322-mmlu,C,D,0,mmlu
323,323-mmlu,A,A,1,mmlu
324,324-mmlu,B,D,0,mmlu
325,325-mmlu,D,D,1,mmlu
326,326-mmlu,D,A,0,mmlu
327,327-mmlu,D,D,1,mmlu
328,328-mmlu,A,C,0,mmlu
329,329-mmlu,A,D,0,mmlu
330,330-mmlu,A,C,0,mmlu
331,331-mmlu,C,C,1,mmlu
332,332-mmlu,A,D,0,mmlu
333,333-mmlu,A,A,1,mmlu
334,334-mmlu,D,D,1,mmlu
335,335-mmlu,D,D,1,mmlu
336,336-mmlu,C,C,1,mmlu
337,337-mmlu,A,D,0,mmlu
338,338-mmlu,B,D,0,mmlu
339,339-mmlu,B,C,0,mmlu
340,340-mmlu,C,D,0,mmlu
341,341-mmlu,A,A,1,mmlu
342,342-mmlu,C,C,1,mmlu
343,343-mmlu,D,C,0,mmlu
344,344-mmlu,B,D,0,mmlu
345,345-mmlu,A,D,0,mmlu
346,346-mmlu,C,D,0,mmlu
347,347-mmlu,B,D,0,mmlu
348,348-mmlu,A,D,0,mmlu
349,349-mmlu,A,D,0,mmlu
350,350-mmlu,C,D,0,mmlu
351,351-mmlu,B,D,0,mmlu
352,352-mmlu,D,D,1,mmlu
353,353-mmlu,B,D,0,mmlu
354,354-mmlu,C,D,0,mmlu
355,355-mmlu,C,D,0,mmlu
356,356-mmlu,B,D,0,mmlu
357,357-mmlu,D,D,1,mmlu
358,358-mmlu,C,D,0,mmlu
359,359-mmlu,A,C,0,mmlu
360,360-mmlu,A,D,0,mmlu
361,361-mmlu,B,D,0,mmlu
362,362-mmlu,C,D,0,mmlu
363,363-mmlu,B,D,0,mmlu
364,364-mmlu,C,D,0,mmlu
365,365-mmlu,A,D,0,mmlu
366,366-mmlu,B,D,0,mmlu
367,367-mmlu,A,D,0,mmlu
368,368-mmlu,D,D,1,mmlu
369,369-mmlu,A,D,0,mmlu
370,370-mmlu,A,D,0,mmlu
371,371-mmlu,B,D,0,mmlu
372,372-mmlu,C,C,1,mmlu
373,373-mmlu,C,D,0,mmlu
374,374-mmlu,B,D,0,mmlu
375,375-mmlu,C,C,1,mmlu
376,376-mmlu,C,D,0,mmlu
377,377-mmlu,B,D,0,mmlu
378,378-mmlu,A,D,0,mmlu
379,379-mmlu,D,D,1,mmlu
380,380-mmlu,D,D,1,mmlu
381,381-mmlu,C,D,0,mmlu
382,382-mmlu,B,C,0,mmlu
383,383-mmlu,A,D,0,mmlu
384,384-mmlu,B,D,0,mmlu
385,385-mmlu,D,D,1,mmlu
386,386-mmlu,C,A,0,mmlu
387,387-mmlu,A,D,0,mmlu
388,388-mmlu,B,D,0,mmlu
389,389-mmlu,B,D,0,mmlu
390,390-mmlu,A,C,0,mmlu
391,391-mmlu,B,D,0,mmlu
392,392-mmlu,D,D,1,mmlu
393,393-mmlu,A,D,0,mmlu
394,394-mmlu,D,D,1,mmlu
395,395-mmlu,B,D,0,mmlu
396,396-mmlu,D,D,1,mmlu
397,397-mmlu,A,D,0,mmlu
398,398-mmlu,D,D,1,mmlu
399,399-mmlu,D,D,1,mmlu
400,400-mmlu,A,C,0,mmlu
401,401-mmlu,A,D,0,mmlu
402,402-mmlu,D,D,1,mmlu
403,403-mmlu,A,D,0,mmlu
404,404-mmlu,D,D,1,mmlu
405,405-mmlu,A,D,0,mmlu
406,406-mmlu,C,D,0,mmlu
407,407-mmlu,D,C,0,mmlu
408,408-mmlu,C,D,0,mmlu
409,409-mmlu,A,D,0,mmlu
410,410-mmlu,D,A,0,mmlu
411,411-mmlu,A,D,0,mmlu
412,412-mmlu,A,D,0,mmlu
413,413-mmlu,A,D,0,mmlu
414,414-mmlu,B,D,0,mmlu
415,415-mmlu,A,D,0,mmlu
416,416-mmlu,D,D,1,mmlu
417,417-mmlu,B,D,0,mmlu
418,418-mmlu,C,D,0,mmlu
419,419-mmlu,B,D,0,mmlu
420,420-mmlu,A,D,0,mmlu
421,421-mmlu,D,D,1,mmlu
422,422-mmlu,B,C,0,mmlu
423,423-mmlu,A,D,0,mmlu
424,424-mmlu,C,C,1,mmlu
425,425-mmlu,B,D,0,mmlu
426,426-mmlu,C,D,0,mmlu
427,427-mmlu,D,D,1,mmlu
428,428-mmlu,A,D,0,mmlu
429,429-mmlu,C,C,1,mmlu
430,430-mmlu,C,D,0,mmlu
431,431-mmlu,D,D,1,mmlu
432,432-mmlu,B,D,0,mmlu
433,433-mmlu,D,D,1,mmlu
434,434-mmlu,C,D,0,mmlu
435,435-mmlu,D,D,1,mmlu
436,436-mmlu,D,D,1,mmlu
437,437-mmlu,C,D,0,mmlu
438,438-mmlu,D,D,1,mmlu
439,439-mmlu,B,A,0,mmlu
440,440-mmlu,C,D,0,mmlu
441,441-mmlu,B,D,0,mmlu
442,442-mmlu,B,D,0,mmlu
443,443-mmlu,C,D,0,mmlu
444,444-mmlu,A,D,0,mmlu
445,445-mmlu,C,D,0,mmlu
446,446-mmlu,B,D,0,mmlu
447,447-mmlu,C,D,0,mmlu
448,448-mmlu,D,C,0,mmlu
449,449-mmlu,D,D,1,mmlu
450,450-mmlu,A,D,0,mmlu
451,451-mmlu,D,D,1,mmlu
452,452-mmlu,D,D,1,mmlu
453,453-mmlu,B,D,0,mmlu
454,454-mmlu,A,D,0,mmlu
455,455-mmlu,D,C,0,mmlu
456,456-mmlu,A,D,0,mmlu
457,457-mmlu,A,D,0,mmlu
458,458-mmlu,B,D,0,mmlu
459,459-mmlu,A,D,0,mmlu
460,460-mmlu,B,D,0,mmlu
461,461-mmlu,A,A,1,mmlu
462,462-mmlu,A,D,0,mmlu
463,463-mmlu,C,D,0,mmlu
464,464-mmlu,B,D,0,mmlu
465,465-mmlu,D,D,1,mmlu
466,466-mmlu,C,D,0,mmlu
467,467-mmlu,A,D,0,mmlu
468,468-mmlu,B,D,0,mmlu
469,469-mmlu,A,D,0,mmlu
470,470-mmlu,D,D,1,mmlu
471,471-mmlu,D,D,1,mmlu
472,472-mmlu,C,D,0,mmlu
473,473-mmlu,D,D,1,mmlu
474,474-mmlu,B,D,0,mmlu
475,475-mmlu,A,D,0,mmlu
476,476-mmlu,B,D,0,mmlu
477,477-mmlu,D,D,1,mmlu
478,478-mmlu,A,D,0,mmlu
479,479-mmlu,A,D,0,mmlu
480,480-mmlu,A,D,0,mmlu
481,481-mmlu,D,D,1,mmlu
482,482-mmlu,A,D,0,mmlu
483,483-mmlu,A,D,0,mmlu
484,484-mmlu,D,D,1,mmlu
485,485-mmlu,B,D,0,mmlu
486,486-mmlu,B,D,0,mmlu
487,487-mmlu,B,D,0,mmlu
488,488-mmlu,C,D,0,mmlu
489,489-mmlu,B,D,0,mmlu
490,490-mmlu,A,D,0,mmlu
491,491-mmlu,A,D,0,mmlu
492,492-mmlu,D,D,1,mmlu
493,493-mmlu,C,D,0,mmlu
494,494-mmlu,D,D,1,mmlu
495,495-mmlu,D,D,1,mmlu
496,496-mmlu,D,D,1,mmlu
497,497-mmlu,B,C,0,mmlu
498,498-mmlu,C,D,0,mmlu
499,499-mmlu,D,D,1,mmlu
500,500-mmlu,B,D,0,mmlu
501,501-mmlu,C,D,0,mmlu
502,502-mmlu,C,C,1,mmlu
503,503-mmlu,A,D,0,mmlu
504,504-mmlu,D,D,1,mmlu
505,505-mmlu,C,D,0,mmlu
506,506-mmlu,A,D,0,mmlu
507,507-mmlu,C,D,0,mmlu
508,508-mmlu,D,D,1,mmlu
509,509-mmlu,C,D,0,mmlu
510,510-mmlu,A,D,0,mmlu
511,511-mmlu,C,D,0,mmlu
512,512-mmlu,C,D,0,mmlu
513,513-mmlu,C,D,0,mmlu
514,514-mmlu,A,D,0,mmlu
515,515-mmlu,A,D,0,mmlu
516,516-mmlu,C,D,0,mmlu
517,517-mmlu,A,D,0,mmlu
518,518-mmlu,A,D,0,mmlu
519,519-mmlu,B,D,0,mmlu
520,520-mmlu,C,D,0,mmlu
521,521-mmlu,D,D,1,mmlu
522,522-mmlu,D,D,1,mmlu
523,523-mmlu,D,D,1,mmlu
524,524-mmlu,C,D,0,mmlu
525,525-mmlu,B,D,0,mmlu
526,526-mmlu,B,D,0,mmlu
527,527-mmlu,C,D,0,mmlu
528,528-mmlu,C,D,0,mmlu
529,529-mmlu,D,D,1,mmlu
530,530-mmlu,D,A,0,mmlu
531,531-mmlu,D,D,1,mmlu
532,532-mmlu,D,D,1,mmlu
533,533-mmlu,D,D,1,mmlu
534,534-mmlu,B,D,0,mmlu
535,535-mmlu,B,D,0,mmlu
536,536-mmlu,D,D,1,mmlu
537,537-mmlu,D,D,1,mmlu
538,538-mmlu,C,D,0,mmlu
539,539-mmlu,B,C,0,mmlu
540,540-mmlu,B,D,0,mmlu
541,541-mmlu,A,D,0,mmlu
542,542-mmlu,D,C,0,mmlu
543,543-mmlu,C,A,0,mmlu
544,544-mmlu,D,D,1,mmlu
545,545-mmlu,C,D,0,mmlu
546,546-mmlu,A,A,1,mmlu
547,547-mmlu,D,C,0,mmlu
548,548-mmlu,B,D,0,mmlu
549,549-mmlu,D,D,1,mmlu
550,550-mmlu,C,A,0,mmlu
551,551-mmlu,B,D,0,mmlu
552,552-mmlu,A,D,0,mmlu
553,553-mmlu,C,D,0,mmlu
554,554-mmlu,C,D,0,mmlu
555,555-mmlu,D,D,1,mmlu
556,556-mmlu,B,D,0,mmlu
557,557-mmlu,A,C,0,mmlu
558,558-mmlu,C,A,0,mmlu
559,559-mmlu,A,D,0,mmlu
560,560-mmlu,A,D,0,mmlu
561,561-mmlu,D,D,1,mmlu
562,562-mmlu,C,D,0,mmlu
563,563-mmlu,D,A,0,mmlu
564,564-mmlu,D,A,0,mmlu
565,565-mmlu,B,D,0,mmlu
566,566-mmlu,B,D,0,mmlu
567,567-mmlu,C,D,0,mmlu
568,568-mmlu,D,D,1,mmlu
569,569-mmlu,B,D,0,mmlu
570,570-mmlu,D,D,1,mmlu
571,571-mmlu,D,D,1,mmlu
572,572-mmlu,C,D,0,mmlu
573,573-mmlu,A,C,0,mmlu
574,574-mmlu,C,D,0,mmlu
575,575-mmlu,B,D,0,mmlu
576,576-mmlu,A,D,0,mmlu
577,577-mmlu,A,D,0,mmlu
578,578-mmlu,C,D,0,mmlu
579,579-mmlu,C,D,0,mmlu
580,580-mmlu,B,D,0,mmlu
581,581-mmlu,D,A,0,mmlu
582,582-mmlu,B,D,0,mmlu
583,583-mmlu,D,C,0,mmlu
584,584-mmlu,D,A,0,mmlu
585,585-mmlu,B,D,0,mmlu
586,586-mmlu,B,D,0,mmlu
587,587-mmlu,D,C,0,mmlu
588,588-mmlu,D,A,0,mmlu
589,589-mmlu,D,D,1,mmlu
590,590-mmlu,D,D,1,mmlu
591,591-mmlu,A,D,0,mmlu
592,592-mmlu,A,D,0,mmlu
593,593-mmlu,C,D,0,mmlu
594,594-mmlu,B,D,0,mmlu
595,595-mmlu,D,D,1,mmlu
596,596-mmlu,C,D,0,mmlu
597,597-mmlu,A,D,0,mmlu
598,598-mmlu,A,D,0,mmlu
599,599-mmlu,C,D,0,mmlu
600,600-mmlu,B,D,0,mmlu
601,601-mmlu,A,D,0,mmlu
602,602-mmlu,A,D,0,mmlu
603,603-mmlu,D,D,1,mmlu
604,604-mmlu,D,C,0,mmlu
605,605-mmlu,A,D,0,mmlu
606,606-mmlu,D,D,1,mmlu
607,607-mmlu,D,D,1,mmlu
608,608-mmlu,B,D,0,mmlu
609,609-mmlu,D,D,1,mmlu
610,610-mmlu,C,D,0,mmlu
611,611-mmlu,A,D,0,mmlu
612,612-mmlu,D,D,1,mmlu
613,613-mmlu,D,D,1,mmlu
614,614-mmlu,C,D,0,mmlu
615,615-mmlu,C,D,0,mmlu
616,616-mmlu,C,D,0,mmlu
617,617-mmlu,D,D,1,mmlu
618,618-mmlu,C,D,0,mmlu
619,619-mmlu,B,D,0,mmlu
620,620-mmlu,C,D,0,mmlu
621,621-mmlu,D,D,1,mmlu
622,622-mmlu,D,D,1,mmlu
623,623-mmlu,D,D,1,mmlu
624,624-mmlu,C,D,0,mmlu
625,625-mmlu,C,D,0,mmlu
626,626-mmlu,A,D,0,mmlu
627,627-mmlu,B,D,0,mmlu
628,628-mmlu,A,D,0,mmlu
629,629-mmlu,D,D,1,mmlu
630,630-mmlu,B,D,0,mmlu
631,631-mmlu,B,D,0,mmlu
632,632-mmlu,B,D,0,mmlu
633,633-mmlu,A,D,0,mmlu
634,634-mmlu,D,D,1,mmlu
635,635-mmlu,C,D,0,mmlu
636,636-mmlu,B,D,0,mmlu
637,637-mmlu,A,D,0,mmlu
638,638-mmlu,B,D,0,mmlu
639,639-mmlu,A,D,0,mmlu
640,640-mmlu,D,D,1,mmlu
641,641-mmlu,B,D,0,mmlu
642,642-mmlu,C,C,1,mmlu
643,643-mmlu,A,D,0,mmlu
644,644-mmlu,B,D,0,mmlu
645,645-mmlu,D,D,1,mmlu
646,646-mmlu,A,D,0,mmlu
647,647-mmlu,A,D,0,mmlu
648,648-mmlu,B,D,0,mmlu
649,649-mmlu,B,C,0,mmlu
650,650-mmlu,B,C,0,mmlu
651,651-mmlu,A,D,0,mmlu
652,652-mmlu,C,D,0,mmlu
653,653-mmlu,A,D,0,mmlu
654,654-mmlu,D,D,1,mmlu
655,655-mmlu,D,D,1,mmlu
656,656-mmlu,D,D,1,mmlu
657,657-mmlu,A,D,0,mmlu
658,658-mmlu,D,D,1,mmlu
659,659-mmlu,D,D,1,mmlu
660,660-mmlu,B,D,0,mmlu
661,661-mmlu,B,D,0,mmlu
662,662-mmlu,B,A,0,mmlu
663,663-mmlu,B,D,0,mmlu
664,664-mmlu,C,D,0,mmlu
665,665-mmlu,B,D,0,mmlu
666,666-mmlu,D,C,0,mmlu
667,667-mmlu,B,C,0,mmlu
668,668-mmlu,C,A,0,mmlu
669,669-mmlu,B,A,0,mmlu
670,670-mmlu,A,D,0,mmlu
671,671-mmlu,B,D,0,mmlu
672,672-mmlu,A,D,0,mmlu
673,673-mmlu,B,D,0,mmlu
674,674-mmlu,B,C,0,mmlu
675,675-mmlu,A,A,1,mmlu
676,676-mmlu,C,D,0,mmlu
677,677-mmlu,A,D,0,mmlu
678,678-mmlu,B,D,0,mmlu
679,679-mmlu,A,C,0,mmlu
680,680-mmlu,C,D,0,mmlu
681,681-mmlu,C,D,0,mmlu
682,682-mmlu,A,D,0,mmlu
683,683-mmlu,D,D,1,mmlu
684,684-mmlu,B,A,0,mmlu
685,685-mmlu,D,C,0,mmlu
686,686-mmlu,A,D,0,mmlu
687,687-mmlu,D,D,1,mmlu
688,688-mmlu,B,C,0,mmlu
689,689-mmlu,A,D,0,mmlu
690,690-mmlu,A,D,0,mmlu
691,691-mmlu,A,D,0,mmlu
692,692-mmlu,D,D,1,mmlu
693,693-mmlu,A,D,0,mmlu
694,694-mmlu,D,C,0,mmlu
695,695-mmlu,B,D,0,mmlu
696,696-mmlu,A,D,0,mmlu
697,697-mmlu,B,D,0,mmlu
